-21.09375	-21.09375	-20.269775390625	-20.269775390625	-19.66552734375	FUS	TAF15	ELAVL1	ELAVL3	CELF3
-26.3671875	-26.3671875	-26.3671875	-19.88525390625	-19.500732421875	PABPC1	PABPC1L	ENSG00000250177	QKI	QKI
-42.1875	-42.1875	-42.1875	-39.55078125	-38.726806640625	FUS	TAF15	EIF4B	NONO	HNRNPA2B1
-17.61474609375	-17.61474609375	-14.83154296875	-14.83154296875	-13.165283203125	SNRPA	SNRPB2	RBFOX2	RBFOX3	PABPC1
-27.978515625	-27.978515625	-27.978515625	-23.260498046875	-21.771240234375	RBM4B	RBM4	RBM4	RBM8A	RBM4B
-26.3671875	-26.3671875	-26.3671875	-21.81396484375	-21.81396484375	PABPC1	PABPC1L	ENSG00000250177	HNRNPL	ENSG00000215042
-39.55078125	-39.55078125	-39.55078125	-35.92529296875	-34.442138671875	PABPC1	PABPC1L	ENSG00000250177	RBM47	PABPC5
-40.179443359375	-40.179443359375	-40.179443359375	-37.188720703125	-36.199951171875	PTBP1	PTBP2	ROD1	ELAVL3	ELAVL1
-39.55078125	-39.55078125	-39.55078125	-30.9814453125	-30.9814453125	PABPC1	PABPC1L	ENSG00000250177	RBMS2	RBMS3
-22.711181640625	-22.711181640625	-22.711181640625	-20.76416015625	-16.00341796875	RBMS2	RBMS3	ENSG00000213250	A1CF	SF3B4
-39.55078125	-39.55078125	-39.55078125	-29.57763671875	-29.57763671875	PABPC1	PABPC1L	ENSG00000250177	HNRNPR	SYNCRIP
-39.55078125	-39.55078125	-39.55078125	-37.5732421875	-37.5732421875	PABPC1	PABPC1L	ENSG00000250177	PABPN1	PABPN1L
-42.1875	-42.1875	-34.210205078125	-34.210205078125	-34.1552734375	FUS	TAF15	BRUNOL4	CELF3	CELF3
-39.55078125	-39.55078125	-39.55078125	-30.65185546875	-30.65185546875	PABPC1	PABPC1L	ENSG00000250177	PABPC4	PABPC1L
-39.55078125	-39.55078125	-39.55078125	-37.5	-29.99267578125	PABPC1	PABPC1L	ENSG00000250177	SRSF9	RBMS2
-39.55078125	-39.55078125	-39.55078125	-33.013916015625	-33.013916015625	PABPC1	PABPC1L	ENSG00000250177	PABPC4	PABPC1L
-42.1875	-42.1875	-24.42626953125	-20.5810546875	-18.560791015625	FUS	TAF15	G3BP2	ELAVL3	ZNF638
-18.34716796875	-16.998291015625	-16.998291015625	-14.94140625	-14.715576171875	RBM6	CPEB3	CPEB2	RBM47	CELF3
-42.1875	-39.55078125	-39.55078125	-39.55078125	-38.671875	NONO	PABPC1	PABPC1L	ENSG00000250177	EIF4B
-12.139892578125	-12.139892578125	-10.97412109375	-10.97412109375	-9.1049194335937	SNRPA	SNRPB2	SFPQ	PSPC1	SRSF2
-38.671875	-34.954833984375	-34.954833984375	-25.738525390625	-25.189208984375	CPEB3	BRUNOL6	CELF3	RBM38	SF3B4
-39.84375	-39.84375	-39.84375	-39.84375	-39.84375	RBMX	RBMY1F	RBMXL2	RBMXL3	RBMXL1
-21.09375	-21.09375	-19.921875	-19.921875	-19.53125	FUS	TAF15	ESRP2	ESRP1	MBNL3
-42.1875	-42.1875	-42.1875	-42.1875	-42.1875	FUS	TAF15	MBNL3	MBNL2	MBNL1
-44.53125	-44.53125	-44.53125	-44.53125	-44.53125	RBMX	RBMY1F	RBMXL2	RBMXL3	RBMXL1
-39.55078125	-39.55078125	-39.55078125	-33.636474609375	-33.636474609375	PABPC1	PABPC1L	ENSG00000250177	HNRNPL	ENSG00000215042
-30.322265625	-26.3671875	-21.09375	-21.09375	-18.621826171875	SF3B4	CPEB3	FUS	TAF15	RBM38
-42.1875	-42.1875	-22.83935546875	-21.258544921875	-20.831298828125	FUS	TAF15	CELF3	RALY	HNRNPH2
-26.7318725585938	-26.15966796875	-26.15966796875	-26.15966796875	-24.542236328125	SRSF1	RBM4B	RBM4	RBM4	RBM45
-42.1875	-42.1875	-38.250732421875	-30.914306640625	-30.914306640625	FUS	TAF15	RBM38	RBM4B	RBM4
-21.09375	-21.09375	-20.8740234375	-20.654296875	-16.949462890625	FUS	TAF15	CPEB3	RBM28	RBM38
